raceId;driverId;stop;lap;time;duration;milliseconds
841;153;1;1;1899-12-30 17:05:23,000;26,898;26898
841;30;1;1;1899-12-30 17:05:52,000;25,021;25021
844;815;1;1;1899-12-30 15:05:18,000;29,27;29270
845;155;1;1;1899-12-30 14:05:11,000;24,871;24871
852;10;1;1;1899-12-30 14:05:58,000;35,092;35092
852;811;1;1;1899-12-30 14:06:10,000;30,795;30795
852;5;1;1;1899-12-30 14:06:14,000;28,539;28539
853;155;1;1;1899-12-30 14:05:42,000;27,55;27550
853;22;1;1;1899-12-30 14:06:43,000;29,157;29157
853;817;1;1;1899-12-30 14:08:50,000;;1004718
854;817;1;1;1899-12-30 20:06:48,000;44,17;44170
856;24;1;1;1899-12-30 15:05:51,000;26,379;26379
857;815;1;1;1899-12-30 15:05:16,000;22,676;22676
857;10;1;1;1899-12-30 15:05:23,000;27,378;27378
857;22;1;1;1899-12-30 15:05:36,000;33,65;33650
857;15;1;1;1899-12-30 15:06:37,000;40,734;40734
858;811;1;1;1899-12-30 17:05:36,000;20,882;20882
860;811;1;1;1899-12-30 17:05:23,000;24,599;24599
860;817;1;1;1899-12-30 17:05:35,000;32,319;32319
861;815;1;1;1899-12-30 16:05:39,000;25,671;25671
861;811;1;1;1899-12-30 16:06:01,000;31,006;31006
863;5;1;1;1899-12-30 15:05:40,000;25,047;25047
864;815;1;1;1899-12-30 14:05:24,000;21,864;21864
865;155;1;1;1899-12-30 14:04:47,000;28,39;28390
868;814;1;1;1899-12-30 13:05:45,000;32,79;32790
869;13;1;1;1899-12-30 14:04:39,000;23,049;23049
869;811;1;1;1899-12-30 14:04:53,000;47,942;47942
869;154;1;1;1899-12-30 14:04:56,000;32,766;32766
870;30;1;1;1899-12-30 14:08:08,000;21,336;21336
871;37;1;1;1899-12-30 14:06:31,000;29,107;29107
871;155;1;1;1899-12-30 14:06:35,000;27,248;27248
871;813;1;1;1899-12-30 14:06:36,000;21,842;21842
873;808;1;1;1899-12-30 20:06:04,000;36,148;36148
873;13;1;1;1899-12-30 20:06:31,000;31,958;31958
874;154;1;1;1899-12-30 15:05:37,000;32,329;32329
874;811;1;1;1899-12-30 15:05:49,000;27,098;27098
874;17;1;1;1899-12-30 15:06:19,000;32,462;32462
875;155;1;1;1899-12-30 15:06:00,000;33,003;33003
876;818;1;1;1899-12-30 15:05:15,000;25,097;25097
876;30;1;1;1899-12-30 15:05:50,000;25,036;25036
877;3;1;1;1899-12-30 17:05:24,000;29,277;29277
877;154;1;1;1899-12-30 17:05:48,000;26,057;26057
877;814;1;1;1899-12-30 17:06:13,000;26,67;26670
882;17;1;1;1899-12-30 15:05:52,000;21,287;21287
883;821;1;1;1899-12-30 15:06:04,000;28,102;28102
883;16;1;1;1899-12-30 15:06:49,000;26,495;26495
885;813;1;1;1899-12-30 14:04:48,000;40,507;40507
885;823;1;1;1899-12-30 14:04:55,000;35,1;35100
892;8;1;1;1899-12-30 14:05:19,000;30,975;30975
895;819;1;1;1899-12-30 15:05:34,000;17,935;17935
895;1;1;1;1899-12-30 15:06:11,000;25,297;25297
896;814;1;1;1899-12-30 15:05:12,000;23,662;23662
896;818;1;1;1899-12-30 15:05:14,000;24,232;24232
896;819;1;1;1899-12-30 15:05:39,000;29,082;29082
898;821;1;1;1899-12-30 13:05:59,000;24,859;24859
900;154;1;1;1899-12-30 17:09:56,000;17,255;17255
900;821;1;1;1899-12-30 17:10:12,000;32,657;32657
900;815;1;1;1899-12-30 17:10:14,000;25,541;25541
901;824;1;1;1899-12-30 16:07:01,000;52,836;52836
902;818;1;1;1899-12-30 18:06:44,000;33,895;33895
905;154;1;1;1899-12-30 14:04:54,000;26,312;26312
905;16;1;1;1899-12-30 14:04:55,000;33,207;33207
906;821;1;1;1899-12-30 14:05:32,000;24,37;24370
909;825;1;1;1899-12-30 14:05:24,000;25,859;25859
911;154;1;1;1899-12-30 14:06:17,000;29,256;29256
911;824;1;1;1899-12-30 14:06:49,000;25,362;25362
915;3;1;1;1899-12-30 15:05:38,000;33,82;33820
915;13;1;1;1899-12-30 15:05:45,000;29,912;29912
916;825;1;1;1899-12-30 14:05:26,000;26,881;26881
916;807;1;1;1899-12-30 14:05:32,000;33,427;33427
916;18;1;1;1899-12-30 14:05:32,000;26,806;26806
916;821;1;1;1899-12-30 14:05:34,000;25,007;25007
916;20;1;1;1899-12-30 14:05:37,000;24,226;24226
918;154;1;1;1899-12-30 17:05:39,000;16,12;16120
926;828;1;1;1899-12-30 16:05:59,000;22,681;22681
927;813;1;1;1899-12-30 15:06:15,000;37,289;37289
931;807;1;1;1899-12-30 14:04:47,000;34,773;34773
931;13;1;1;1899-12-30 14:05:03,000;42,934;42934
932;18;1;1;1899-12-30 14:04:39,000;18,057;18057
933;826;1;1;1899-12-30 14:04:37,000;28,632;28632
934;4;1;1;1899-12-30 13:05:14,000;;71178
938;831;1;1;1899-12-30 14:05:00,000;25,761;25761
938;830;1;1;1899-12-30 14:05:02,000;18,818;18818
940;815;1;1;1899-12-30 14:05:29,000;25,041;25041
940;817;1;1;1899-12-30 14:06:11,000;26,087;26087
940;13;1;1;1899-12-30 14:06:55,000;34,166;34166
941;154;1;1;1899-12-30 14:05:55,000;54,445;54445
941;830;1;1;1899-12-30 14:06:46,000;37,334;37334
942;822;1;1;1899-12-30 14:05:59,000;40,488;40488
942;154;1;1;1899-12-30 14:06:27,000;27,621;27621
942;834;1;1;1899-12-30 14:06:39,000;37,748;37748
942;4;1;1;1899-12-30 14:06:40,000;31,987;31987
943;20;1;1;1899-12-30 13:04:58,000;28,07;28070
945;4;1;1;1899-12-30 17:05:39,000;44,99;44990
948;825;1;1;1899-12-30 16:09:48,000;27,831;27831
949;807;1;1;1899-12-30 18:05:30,000;31,931;31931
950;154;1;1;1899-12-30 14:05:35,000;58,563;58563
950;8;1;1;1899-12-30 14:05:39,000;31,134;31134
950;1;1;1;1899-12-30 14:05:46,000;29,322;29322
950;831;1;1;1899-12-30 14:06:25,000;36,854;36854
951;826;1;1;1899-12-30 15:05:38,000;41,282;41282
951;817;1;1;1899-12-30 15:05:43,000;47,763;47763
951;828;1;1;1899-12-30 15:05:50,000;30,529;30529
951;815;1;1;1899-12-30 15:06:03,000;32,8;32800
951;821;1;1;1899-12-30 15:06:09,000;40,169;40169
953;826;1;1;1899-12-30 14:03:20,000;;92609
955;837;1;1;1899-12-30 17:05:57,000;33,405;33405
960;830;1;1;1899-12-30 14:05:46,000;31,235;31235
960;831;1;1;1899-12-30 14:05:52,000;26,39;26390
960;20;1;1;1899-12-30 14:05:53,000;22,403;22403
960;8;1;1;1899-12-30 14:06:21,000;;87084
962;3;1;1;1899-12-30 20:06:14,000;26,35;26350
962;817;1;1;1899-12-30 20:06:15,000;25,925;25925
